dimension,group,cells,median,mean,p95,top_5pct_fraction,top_1pct_fraction,top_5pct_enrichment,top_1pct_enrichment
cell_type,acinar cell of salivary gland,12237,0.17706425,0.17327851,0.33024758100509644,0.0026967393969110076,0.0003268775026558797,0.05393478793822015,0.03268775026558797
cell_type,myoepithelial cell,486,0.24171928,0.24435022,0.37294985353946686,0.006172839506172839,0.0,0.12345679012345678,0.0
cell_type,ionocyte,160,0.24188548,0.24385309,0.3452449709177017,0.0,0.0,0.0,0.0
cell_type,tissue-resident macrophage,1355,0.34375542,0.34423068,0.5010628163814544,0.2007380073800738,0.047232472324723246,4.014760147601476,4.723247232472325
cell_type,basophil,1669,0.27596402,0.2760707,0.44873561859130856,0.07489514679448772,0.01018573996405033,1.4979029358897544,1.0185739964050329
cell_type,sebocyte,135,0.14216551,0.1466321,0.24408855140209193,0.0,0.0,0.0,0.0
cell_type,melanocyte,234,0.21971639,0.21434331,0.3580296218395233,0.008547008547008548,0.0,0.17094017094017094,0.0
cell_type,"CD4-positive, alpha-beta thymocyte",4685,0.22122908,0.22454466,0.3767817199230194,0.017716115261472785,0.0025613660618996796,0.3543223052294557,0.256136606189968
cell_type,Schwann cell,318,0.24620056,0.25364736,0.41422377079725264,0.040880503144654086,0.0,0.8176100628930817,0.0
cell_type,microglial cell,410,0.27307603,0.2681118,0.43157999664545055,0.06585365853658537,0.004878048780487805,1.3170731707317074,0.4878048780487805
cell_type,eye photoreceptor cell,1536,0.20068662,0.1971097,0.3365922272205353,0.001953125,0.0,0.0390625,0.0
cell_type,Langerhans cell,76,0.32056144,0.3151957,0.4236120283603668,0.05263157894736842,0.0,1.0526315789473684,0.0
cell_type,intermediate monocyte,5478,0.33708203,0.33632192,0.47544573992490763,0.14330047462577583,0.025374224169404894,2.8660094925155164,2.5374224169404895
cell_type,enterocyte of epithelium of large intestine,4567,0.15512234,0.16273247,0.3261018127202987,0.0017516969564265383,0.0,0.03503393912853076,0.0
cell_type,paneth cell of colon,217,0.13377178,0.15161768,0.2962081491947174,0.0,0.0,0.0,0.0
cell_type,intestinal crypt stem cell of colon,1732,0.20109841,0.20009358,0.3116015553474426,0.0005773672055427252,0.0,0.011547344110854502,0.0
cell_type,enteroglial cell,990,0.2024166,0.20780781,0.3546553149819374,0.010101010101010102,0.00202020202020202,0.20202020202020202,0.20202020202020202
cell_type,tuft cell of colon,178,0.19795758,0.20164333,0.3878505274653435,0.028089887640449437,0.0056179775280898875,0.5617977528089887,0.5617977528089887
cell_type,colon endothelial cell,348,0.257311,0.25104442,0.44279314875602716,0.07183908045977011,0.008620689655172414,1.4367816091954022,0.8620689655172413
cell_type,bladder urothelial cell,27241,0.27115524,0.26800406,0.38495779037475586,0.013839433207297823,0.0008076061818582284,0.27678866414595643,0.08076061818582285
cell_type,hepatocyte,7414,0.16885957,0.17109217,0.2930126130580902,0.0002697599136768276,0.0,0.005395198273536552,0.0
cell_type,enterocyte of epithelium proper of small intestine,1415,0.088731006,0.12467614,0.31871860623359677,0.0014134275618374558,0.0007067137809187279,0.028268551236749113,0.07067137809187278
cell_type,paneth cell of epithelium of small intestine,1853,0.21175885,0.20607519,0.30716845989227287,0.0,0.0,0.0,0.0
cell_type,intestinal crypt stem cell of small intestine,587,0.21372496,0.2106939,0.3355994492769241,0.0,0.0,0.0,0.0
cell_type,glandular secretory epithelial cell,235,0.2225098,0.23394965,0.39296876192092894,0.03829787234042553,0.0,0.7659574468085106,0.0
cell_type,Mueller cell,506,0.19216642,0.2115486,0.4170212522149086,0.037549407114624504,0.005928853754940711,0.75098814229249,0.592885375494071
cell_type,retinal pigment epithelial cell,67,0.11913541,0.13007046,0.2513335913419723,0.0,0.0,0.0,0.0
cell_type,mesenchymal stem cell of adipose tissue,3777,0.20065929,0.20535703,0.33891855478286737,0.004765687053216839,0.00026476039184537993,0.09531374106433678,0.026476039184537992
cell_type,colon macrophage,328,0.36972976,0.36615947,0.49891082048416135,0.24085365853658536,0.039634146341463415,4.817073170731707,3.9634146341463414
cell_type,gamma-delta T cell,1977,0.27597123,0.28057235,0.4303270995616913,0.054628224582701064,0.010116337885685382,1.0925644916540211,1.0116337885685383
cell_type,erythroid lineage cell,2,0.008955818,0.008955818,0.012757900916039943,0.0,0.0,0.0,0.0
cell_type,small intestine goblet cell,2044,0.23101753,0.22999422,0.3685940489172935,0.011741682974559686,0.0009784735812133072,0.23483365949119372,0.09784735812133072
cell_type,endothelial cell of arteriole,132,0.32033104,0.30373055,0.4460864439606666,0.11363636363636363,0.0,2.2727272727272725,0.0
cell_type,intestinal tuft cell,448,0.25371474,0.2473634,0.38366035073995586,0.015625,0.002232142857142857,0.3125,0.2232142857142857
cell_type,retinal blood vessel endothelial cell,2091,0.26261267,0.26282376,0.4116368591785431,0.03634624581539933,0.001912960306073649,0.7269249163079866,0.19129603060736491
cell_type,corneal epithelial cell,4187,0.23585492,0.23610705,0.35097166299819943,0.0021495103893002148,0.0,0.04299020778600429,0.0
cell_type,retinal bipolar neuron,61,0.3573744,0.37451166,0.6034699082374573,0.32786885245901637,0.18032786885245902,6.557377049180327,18.0327868852459
cell_type,serous cell of epithelium of bronchus,15,0.133258,0.1389917,0.21730880141258238,0.0,0.0,0.0,0.0
cell_type,pulmonary ionocyte,25,0.27590486,0.26682,0.3868806064128876,0.04,0.0,0.7999999999999999,0.0
cell_type,radial glial cell,13,0.26802444,0.24597701,0.35155859589576705,0.0,0.0,0.0,0.0
cell_type,plasmacytoid dendritic cell,99,0.26714122,0.27070177,0.42757976055145264,0.06060606060606061,0.0,1.2121212121212122,0.0
cell_type,enteroendocrine cell of small intestine,264,0.35493845,0.369502,0.564817363023758,0.3068181818181818,0.125,6.136363636363636,12.5
cell_type,tracheal goblet cell,232,0.06996055,0.08709032,0.20296095758676527,0.0,0.0,0.0,0.0
cell_type,multiciliated columnar cell of tracheobronchial tree,713,0.18270402,0.17697209,0.2809032678604126,0.0,0.0,0.0,0.0
cell_type,mucus secreting cell,270,0.21121752,0.20528652,0.3229386359453201,0.0,0.0,0.0,0.0
cell_type,blood vessel smooth muscle cell,6642,0.261208,0.26552203,0.4062141954898834,0.030563083408611864,0.00331225534477567,0.6112616681722373,0.331225534477567
cell_type,mesenchymal cell,2,0.08208038,0.08208038,0.14213793575763703,0.0,0.0,0.0,0.0
cell_type,mononuclear phagocyte,5336,0.37703887,0.37195772,0.5055561661720276,0.2754872563718141,0.05322338830584707,5.509745127436282,5.322338830584707
cell_type,endothelial cell of venule,52,0.28062475,0.28528625,0.3947669103741645,0.019230769230769232,0.0,0.38461538461538464,0.0
cell_type,large intestine goblet cell,1557,0.23232752,0.2350695,0.3778482496738433,0.014771997430956968,0.0019267822736030828,0.29543994861913936,0.1926782273603083
cell_type,enterochromaffin-like cell,27,0.27355692,0.27322525,0.44409860372543336,0.1111111111111111,0.037037037037037035,2.222222222222222,3.7037037037037033
cell_type,T follicular helper cell,6,0.097970404,0.14870183,0.3282293453812599,0.0,0.0,0.0,0.0
cell_type,type L enteroendocrine cell,44,0.4098404,0.3906314,0.5022576913237572,0.4090909090909091,0.06818181818181818,8.181818181818182,6.8181818181818175
cell_type,kidney epithelial cell,9278,0.17198011,0.17926173,0.2966358199715614,0.004634619530071136,0.0008622547962923044,0.09269239060142272,0.08622547962923044
cell_type,BEST4+ enterocyte,1970,0.281728,0.28510064,0.429582467675209,0.05279187817258883,0.0025380710659898475,1.0558375634517765,0.25380710659898476
