dataset,source_index,cell_type,broad_cell_class,tissue,tissue_in_publication,supercluster_term,ROIGroupCoarse,ROIGroupFine,roi,shared_umap_1,shared_umap_2,adora_high_gene,ADORA1_expression,ADORA2A_expression,ADORA2B_expression,ADORA3_expression
Tabula Sapiens,391161,fibroblast,fibroblast,bladder organ,Bladder,,,,,13.934841,14.914644,none,0.0,0.0,0.0,0.0
Tabula Sapiens,391221,mast cell,granulocyte,bladder organ,Bladder,,,,,2.8930035,17.94134,none,0.0,0.0,0.0,0.0
Tabula Sapiens,391397,bladder urothelial cell,transitional epithelial cell,bladder organ,Bladder,,,,,20.536036,17.435625,none,0.0,0.0,0.24375935,0.0
Tabula Sapiens,391499,T cell,t cell,bladder organ,Bladder,,,,,9.634536,19.759827,none,0.0,0.0,0.0,0.0
Tabula Sapiens,391811,fibroblast,fibroblast,bladder organ,Bladder,,,,,14.092505,15.028194,none,0.0,0.0,0.0,0.0
Tabula Sapiens,391885,monocyte,myeloid leukocyte,bladder organ,Bladder,,,,,8.41307,17.65361,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392075,plasma cell,lymphocyte of b lineage,bladder organ,Bladder,,,,,16.813808,19.995703,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392150,B cell,lymphocyte of b lineage,bladder organ,Bladder,,,,,6.4145026,25.26385,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392326,fibroblast,fibroblast,bladder organ,Bladder,,,,,13.7051,14.743705,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392353,T cell,t cell,bladder organ,Bladder,,,,,9.658456,19.824276,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392478,"CD8-positive, alpha-beta T cell",t cell,blood,Blood,,,,,12.064382,21.0327,none,0.0,0.0,0.0,0.0
Tabula Sapiens,392552,"CD8-positive, alpha-beta T cell",t cell,blood,Blood,,,,,11.078165,21.348722,none,0.0,0.0,0.0,0.0
