"atlas","method","panel","group","score","n_cells"
"hbca","JASMINE","full61","Hippocampal dentate gyrus",0.452797826130054,200
"hbca","JASMINE","full61","LAMP5-LHX6 and Chandelier",0.473876308441738,200
"hbca","JASMINE","full61","Lower rhombic lip",0.496164631989941,200
"hbca","JASMINE","full61","Mammillary body",0.439106125498839,200
"hbca","JASMINE","full61","Medium spiny neuron",0.445773732986559,200
"hbca","JASMINE","full61","MGE interneuron",0.448525884911285,200
"hbca","JASMINE","full61","Midbrain-derived inhibitory",0.483736817921877,200
"hbca","JASMINE","full61","Miscellaneous",0.458318944049544,200
"hbca","JASMINE","full61","Splatter",0.451684758145086,200
"hbca","JASMINE","full61","Thalamic excitatory",0.487776670771836,200
"hbca","JASMINE","full61","Upper rhombic lip",0.37239780472815,200
"hbca","JASMINE","full61","Upper-layer intratelencephalic",0.507550045843651,200
