"atlas","method","panel","group","score","n_cells"
"tabula","scPS","full61","fibroblast",0.0495021959831271,200
"tabula","scPS","full61","fibroblast of breast",0.0515151575678849,200
"tabula","scPS","full61","fibroblast of cardiac tissue",0.0608490337759829,200
"tabula","scPS","full61","gamma-delta T cell",0.0614230084059876,200
"tabula","scPS","full61","granulocyte",0.0521246301309198,200
"tabula","scPS","full61","hematopoietic precursor cell",0.0690506313444691,200
"tabula","scPS","full61","hematopoietic stem cell",0.0551954537980232,200
"tabula","scPS","full61","hepatocyte",0.0366563997570854,200
"tabula","scPS","full61","innate lymphoid cell",0.0352601354860495,200
"tabula","scPS","full61","intermediate monocyte",0.0718879039238821,200
"tabula","scPS","full61","intestinal crypt stem cell of colon",0.0446647873370362,200
"tabula","scPS","full61","intestinal crypt stem cell of small intestine",0.0436168282931404,200
"tabula","scPS","full61","intrahepatic cholangiocyte",0.0445024629938693,200
"tabula","scPS","full61","keratocyte",0.0534382322048516,200
