dataset,source_label,group,group_normalized,gene,n_cells,pct_expressing,mean_expression
HBCA non-neuronal,roi,Human CA2U-CA3U,human ca2u-ca3u,ADORA3,1185,0.08438818565400844,0.0008438818622380495
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA1,3276,23.748473748473746,0.3144078254699707
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA2A,3276,0.9462759462759462,0.00976801011711359
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA2B,3276,2.503052503052503,0.02777777798473835
HBCA non-neuronal,roi,Human CA3R,human ca3r,ADORA3,3276,0.0,0.0
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA1,19743,16.60841817352986,0.2071113884449005
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA2A,19743,0.8002836448361444,0.008458694443106651
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA2B,19743,2.4464367117459354,0.028921643272042274
HBCA non-neuronal,roi,Human CA4C-DGC,human ca4c-dgc,ADORA3,19743,0.005065086359722433,5.065086224931292e-05
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA1,3218,16.407706650093225,0.22498446702957153
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA2A,3218,1.0876320696084525,0.011187072843313217
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA2B,3218,8.91858297078931,0.12336855381727219
HBCA non-neuronal,roi,Human CBL,human cbl,ADORA3,3218,0.031075201988812924,0.00031075201695784926
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA1,17133,11.801786026965505,0.14539194107055664
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA2A,17133,0.9922372030584252,0.011206443421542645
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA2B,17133,7.091577657152863,0.08539076894521713
HBCA non-neuronal,roi,Human CBV,human cbv,ADORA3,17133,0.005836689429755443,5.836689524585381e-05
HBCA non-neuronal,roi,Human CEN,human cen,ADORA1,12647,37.16296354866767,0.676998496055603
HBCA non-neuronal,roi,Human CEN,human cen,ADORA2A,12647,1.0911678658970507,0.011860520578920841
HBCA non-neuronal,roi,Human CEN,human cen,ADORA2B,12647,4.767929153158852,0.07084684073925018
HBCA non-neuronal,roi,Human CEN,human cen,ADORA3,12647,0.031628054083972484,0.00031628055148757994
HBCA non-neuronal,roi,Human CM,human cm,ADORA1,6909,29.700390794615718,0.41670283675193787
HBCA non-neuronal,roi,Human CM,human cm,ADORA2A,6909,1.3026487190620928,0.014039658010005951
HBCA non-neuronal,roi,Human CM,human cm,ADORA2B,6909,0.636850484874801,0.007671153638511896
HBCA non-neuronal,roi,Human CM,human cm,ADORA3,6909,0.0,0.0
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA1,8333,18.58874354974199,0.28009119629859924
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA2A,8333,0.6120244809792391,0.006480259355157614
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA2B,8333,1.1640465618624745,0.013440537266433239
HBCA non-neuronal,roi,Human CM-Pf,human cm-pf,ADORA3,8333,0.024000960038401537,0.00024000959820114076
HBCA non-neuronal,roi,Human CMN,human cmn,ADORA1,3966,15.456379223398892,0.19238527119159698
HBCA non-neuronal,roi,Human CMN,human cmn,ADORA2A,3966,0.5547150781643975,0.0057992939837276936
HBCA non-neuronal,roi,Human CMN,human cmn,ADORA2B,3966,3.7317196167423092,0.04261220246553421
HBCA non-neuronal,roi,Human CMN,human cmn,ADORA3,3966,0.0,0.0
HBCA non-neuronal,roi,Human CaB,human cab,ADORA1,2787,18.119842124147826,0.23286688327789307
HBCA non-neuronal,roi,Human CaB,human cab,ADORA2A,2787,3.803372802296376,0.041980624198913574
HBCA non-neuronal,roi,Human CaB,human cab,ADORA2B,2787,3.659849300322928,0.04449228569865227
HBCA non-neuronal,roi,Human CaB,human cab,ADORA3,2787,0.0,0.0
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA1,28652,19.94974172832612,0.26717156171798706
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA2A,28652,0.7259528130671506,0.007573642302304506
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA2B,28652,1.0924193773558566,0.012110847048461437
HBCA non-neuronal,roi,Human CbDN,human cbdn,ADORA3,28652,0.010470473265391597,0.00010470473353052512
HBCA non-neuronal,roi,Human Cla,human cla,ADORA1,12236,24.87741091860085,0.3430042564868927
HBCA non-neuronal,roi,Human Cla,human cla,ADORA2A,12236,0.6783262504086303,0.00776397529989481
HBCA non-neuronal,roi,Human Cla,human cla,ADORA2B,12236,3.3671134357633212,0.0397188626229763
HBCA non-neuronal,roi,Human Cla,human cla,ADORA3,12236,0.0,0.0
HBCA non-neuronal,roi,Human CoA,human coa,ADORA1,2476,26.292407108239097,0.35460421442985535
HBCA non-neuronal,roi,Human CoA,human coa,ADORA2A,2476,0.7269789983844911,0.007673667278140783
HBCA non-neuronal,roi,Human CoA,human coa,ADORA2B,2476,10.09693053311793,0.130048468708992
HBCA non-neuronal,roi,Human CoA,human coa,ADORA3,2476,0.0,0.0
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA1,14520,15.702479338842975,0.20847107470035553
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA2A,14520,0.6955922865013774,0.007713498547673225
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA2B,14520,3.898071625344353,0.04573002830147743
HBCA non-neuronal,roi,Human DGR-CA4Rpy,human dgr-ca4rpy,ADORA3,14520,0.013774104683195591,0.00013774105173069984
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA1,13331,15.28767534318506,0.1957092434167862
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA2A,13331,0.6076063311079438,0.0064511289820075035
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA2B,13331,3.4806091065936537,0.04178231209516525
HBCA non-neuronal,roi,Human DGU-CA4Upy,human dgu-ca4upy,ADORA3,13331,0.015002625459455406,0.00015002625877968967
HBCA non-neuronal,roi,Human DTg,human dtg,ADORA1,8080,10.594059405940595,0.11955445259809494
HBCA non-neuronal,roi,Human DTg,human dtg,ADORA2A,8080,0.40841584158415845,0.004331683274358511
HBCA non-neuronal,roi,Human DTg,human dtg,ADORA2B,8080,0.47029702970297027,0.004950494971126318
HBCA non-neuronal,roi,Human DTg,human dtg,ADORA3,8080,0.0,0.0
HBCA non-neuronal,roi,Human ETH,human eth,ADORA1,2048,13.0859375,0.1591796875
HBCA non-neuronal,roi,Human ETH,human eth,ADORA2A,2048,0.68359375,0.00732421875
HBCA non-neuronal,roi,Human ETH,human eth,ADORA2B,2048,0.68359375,0.00732421875
HBCA non-neuronal,roi,Human ETH,human eth,ADORA3,2048,0.0,0.0
HBCA non-neuronal,roi,Human FI,human fi,ADORA1,2338,15.953806672369547,0.2001710832118988
HBCA non-neuronal,roi,Human FI,human fi,ADORA2A,2338,0.8554319931565441,0.009837468154728413
HBCA non-neuronal,roi,Human FI,human fi,ADORA2B,2338,5.132591958939265,0.06971770524978638
HBCA non-neuronal,roi,Human FI,human fi,ADORA3,2338,0.0,0.0
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA1,33090,13.00090661831369,0.15418554842472076
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA2A,33090,0.5893019038984587,0.006104563362896442
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA2B,33090,0.6074342701722575,0.006860078778117895
HBCA non-neuronal,roi,Human GPe,human gpe,ADORA3,33090,0.024176488365064974,0.00024176487931981683
HBCA non-neuronal,roi,Human GPi,human gpi,ADORA1,32242,9.059611686619936,0.12046398967504501
