dataset,field,label,n_cells,pct_cells
tabula_sapiens,cell_type,"activated CD4-positive, alpha-beta T cell",572,0.05034245188863405
tabula_sapiens,cell_type,myeloid dendritic cell,571,0.05025444060910846
tabula_sapiens,cell_type,Mueller cell,506,0.0445337074399455
tabula_sapiens,cell_type,fast muscle cell,495,0.04356558336516408
tabula_sapiens,cell_type,platelet,494,0.043477572085638495
tabula_sapiens,cell_type,myoepithelial cell,486,0.042773481849433824
tabula_sapiens,cell_type,common myeloid progenitor,456,0.0401331434636663
tabula_sapiens,cell_type,thymocyte,455,0.040045132184140714
tabula_sapiens,cell_type,intestinal tuft cell,448,0.03942905322746163
tabula_sapiens,cell_type,pancreatic stellate cell,438,0.03854894043220579
tabula_sapiens,cell_type,tendon cell,420,0.03696473740074528
tabula_sapiens,cell_type,microglial cell,410,0.03608462460548944
tabula_sapiens,cell_type,muscle cell,406,0.0357325794873871
tabula_sapiens,cell_type,enterocyte of epithelium proper of jejunum,405,0.03564456820786152
tabula_sapiens,cell_type,mesothelial cell,350,0.0308039478339544
tabula_sapiens,cell_type,colon endothelial cell,348,0.030627925274903232
tabula_sapiens,cell_type,colon macrophage,328,0.02886769968439155
tabula_sapiens,cell_type,serous cell of epithelium of trachea,326,0.028691677125340383
tabula_sapiens,cell_type,ciliated epithelial cell,320,0.028163609448186883
tabula_sapiens,cell_type,Schwann cell,318,0.02798758688913571
tabula_sapiens,cell_type,mucus secreting cell,270,0.02376304547190768
tabula_sapiens,cell_type,supporting cell of vestibular epithelium,270,0.02376304547190768
tabula_sapiens,cell_type,enteroendocrine cell of small intestine,264,0.023234977794754176
tabula_sapiens,cell_type,ovarian surface epithelial cell,241,0.021210718365665744
tabula_sapiens,cell_type,transit amplifying cell of colon,237,0.02085867324756341
tabula_sapiens,cell_type,glandular secretory epithelial cell,235,0.02068265068851224
tabula_sapiens,cell_type,melanocyte,234,0.020594639408986655
tabula_sapiens,cell_type,tracheal goblet cell,232,0.020418616849935487
tabula_sapiens,cell_type,hepatic stellate cell,223,0.01962651533420523
tabula_sapiens,cell_type,bronchial smooth muscle cell,220,0.01936248149562848
tabula_sapiens,cell_type,paneth cell of colon,217,0.01909844765705173
tabula_sapiens,cell_type,tongue muscle cell,202,0.017778278464167966
tabula_sapiens,cell_type,leukocyte,201,0.017690267184642384
tabula_sapiens,cell_type,tuft cell of colon,178,0.015666007755553952
tabula_sapiens,cell_type,slow muscle cell,174,0.015313962637451616
tabula_sapiens,cell_type,ionocyte,160,0.014081804724093441
tabula_sapiens,cell_type,connective tissue cell,152,0.013377714487888768
tabula_sapiens,cell_type,neuro-medullary thymic epithelial cell,135,0.01188152273595384
tabula_sapiens,cell_type,sebocyte,135,0.01188152273595384
tabula_sapiens,cell_type,endothelial cell of arteriole,132,0.011617488897377088
tabula_sapiens,cell_type,male germ cell,116,0.010209308424967744
tabula_sapiens,cell_type,type B pancreatic cell,102,0.008977150511609569
tabula_sapiens,cell_type,hematopoietic cell,100,0.0088011279525584
