"barcode","group","AddModuleScore__minimal8","AddModuleScore__full61","scPS__minimal8","scPS__full61","AUCell__minimal8","AUCell__full61","JASMINE__minimal8","JASMINE__full61","ssGSEA__minimal8","ssGSEA__full61","UCell__minimal8","UCell__full61","SCSE__minimal8","SCSE__full61"
"cell_16819","naive thymus-derived CD4-positive, alpha-beta T cell",-0.0486395248748352,0.0412093454698272,0,0.0556763578166852,0,0.155901639344262,0,0.462884962899524,20033.5194272088,23696.1797353997,0,0.0897845082525193,0,0.613403088913955
"cell_16820","naive thymus-derived CD8-positive, alpha-beta T cell",-0.0499428592827042,0.0326370681808768,0,0.0521510539017288,0,0.155338797814208,0,0.4524955599581,19946.7579746856,23252.8957802213,0,0.0990581303217311,0,0.600154280750211
"cell_16821","CD4-positive, alpha-beta thymocyte",-0.0450857624879048,0.00268229174388568,0,0.045930499011247,0,0.138568306010929,0,0.454136223780029,20418.5702539688,23046.9087587605,0,0.0848184892142531,0,0.531761229150798
"cell_16822","CD4-positive, alpha-beta thymocyte",-0.0567265766816101,0.00627016193196822,0,0.0458774175351149,0,0.136874316939891,0,0.44368220362593,20270.1756658636,23212.1964216222,0,0.0832059279759846,0,0.529106063758883
"cell_16823","CD4-positive, alpha-beta thymocyte",-0.0479932388689958,0.0673650787505298,0,0.0562806771165046,0,0.192830601092896,0,0.495631059864995,20178.663586257,24001.4137152635,0,0.08516443660793,0,0.678957407251114
"cell_16824","CD4-positive, alpha-beta thymocyte",-0.0384777020190598,0.0337326980745409,0,0.0500859051094757,0,0.146808743169399,0,0.43651827297071,20337.3095275422,23513.9171155214,0,0.067007778236561,0,0.602425291321237
"cell_16825","CD4-positive, alpha-beta thymocyte",-0.0348711579237959,0.068300929939849,0,0.0506589176648388,0,0.155147540983607,0,0.46887197756882,20640.5995618667,23630.2725173726,0,0.0942595051836311,0,0.705564732797284
"cell_16826","CD4-positive, alpha-beta thymocyte",-0.0360002468393487,0.060704762541183,0,0.0528690977135088,0,0.168546448087432,0,0.473314862859704,20371.3140161391,23728.452928141,0,0.0802263165530248,0,0.667966341269492
"cell_16827","endothelial cell of artery",-0.0401485371090661,0.0668650654158131,0,0.0468113046050334,0,0.138032786885246,0,0.424612626042333,20603.0946112083,23291.6533871409,0,0.0758405963686684,0,0.623579971272723
"cell_16828","endothelial cell of artery",-0.0617533080008519,0.15923031040755,0,0.0855949113236493,0,0.220065573770492,0,0.525971697994853,19066.7668157365,23854.8671106751,0,0.145839145621534,0,0.732831411299246
